ModelName,Make,Year
4Runner,Toyota,2020
86,Toyota,2020
Avalon,Toyota,2020
Avalon Hybrid,Toyota,2020
C HR,Toyota,2020
Camry,Toyota,2020
Camry Hybrid,Toyota,2020
Corolla,Toyota,2020
Corolla Hatchback,Toyota,2020
Corolla Hybrid,Toyota,2020
Highlander,Toyota,2020
Highlander Hybrid,Toyota,2020
Land Cruiser,Toyota,2020
Mirai,Toyota,2020
Prius,Toyota,2020
Prius Prime,Toyota,2020
Rav4,Toyota,2020
Rav4 Hybrid,Toyota,2020
Sequoia,Toyota,2020
Sienna,Toyota,2020
Supra,Toyota,2020
Tacoma,Toyota,2020
Tundra,Toyota,2020
Yaris,Toyota,2020
Yaris Sedan,Toyota,2020
